epoch,learning_rate_feature,learning_rate_classifier,learning_rate_discriminator,epoch_time,accuracy,precision,recall,f1,auc,sensitivity,specificity,precision_neutrino,precision_muon,true_positives,true_negatives,false_positives,false_negatives,total_neutrinos,total_muons,loss,positive_class_ratio,class_balance,classification_loss,domain_loss,total_loss,domain_accuracy,lambda_factor,domain_utilization,source_muons_avg,target_events_avg,domain_batch_size_avg,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_sensitivity,val_specificity,val_precision_neutrino,val_precision_muon,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_total_neutrinos,val_total_muons,val_loss,val_positive_class_ratio,val_class_balance,val_domain_loss,val_domain_accuracy,val_domain_utilization,val_source_muons_val,val_target_events_val,val_domain_batch_size_val
20,0.00044764367558773485,0.0008951824286816577,0.0017902599348695028,170.6645724773407,0.87995,0.8819957280921046,0.8772023415433419,0.8795925044119087,0.9532426729854573,0.8772023415433419,0.882696271893284,0.8819957280921046,0.8779274032406224,184166,185413,24640,25781,209947,210053,0.2759098686123591,0.4998738095238095,0.9994953654553851,0.2759098686123591,0.006719287904248835,0.28262915651660797,0.9983745305169369,0.7615941559557646,0.9819313190047945,255.8501827040195,255.78562728380024,251.06577344701583,0.8803,0.8231066001339459,0.9689849310961323,0.8901084328746443,0.9730715762170441,0.9689849310961323,0.7915105562164386,0.8231066001339459,0.9622501250219633,87260,71194,18753,2793,90053,89947,0.43858882429247553,0.5002944444444445,0.9988229153942677,1.1194525872441856,0.5427130113609813,0.9841973284180756,255.53125,255.6818181818182,251.46875
21,0.0004427430540725596,0.0008853713647665071,0.0017706279861544017,171.38960695266724,0.880602380952381,0.8821942446043165,0.878450275545733,0.8803182793440619,0.9537700881210925,0.878450275545733,0.8827534003322971,0.8821942446043165,0.8790247648665048,184428,185425,24628,25519,209947,210053,0.2743660262201648,0.4998738095238095,0.9994953654553851,0.2743660262201648,0.008076297971814186,0.282442324191979,0.9982434846596945,0.7818063576087741,0.982662151032902,255.8501827040195,255.78562728380024,251.26431181485992,0.9016833333333333,0.8625195398613171,0.9558371181415388,0.9067838123982744,0.973432718564507,0.9558371181415388,0.847465729818671,0.8625195398613171,0.9504139444416737,86076,76227,13720,3977,90053,89947,0.32971386751160026,0.5002944444444445,0.9988229153942677,1.9624817279929465,0.5000509252263741,0.9841973284180756,255.53125,255.6818181818182,251.46875
22,0.0004376527118727998,0.0008751804792804149,0.0017502360140956446,173.01866054534912,0.881802380952381,0.8821566159362246,0.8812700348183113,0.8817131025083218,0.9545294310039268,0.8812700348183113,0.8823344584462016,0.8821566159362246,0.8814490354982308,185020,185337,24716,24927,209947,210053,0.2721036074730714,0.4998738095238095,0.9994953654553851,0.2721036074730714,0.013982829573307862,0.28608643704637926,0.9969584083005368,0.8004990217606296,0.9822263934255466,255.8501827040195,255.78562728380024,251.13885505481122,0.8813777777777778,0.8239849092195237,0.9701287019866078,0.8911045604300329,0.9736559520987124,0.9701287019866078,0.7925222631104984,0.8239849092195237,0.9636363636363636,87363,71285,18662,2690,90053,89947,0.43647461105138063,0.5002944444444445,0.9988229153942677,2.627909951589324,0.49999444728547876,0.9841973284180756,255.53125,255.6818181818182,251.46875
23,0.00043237767254164234,0.0008646198293969954,0.0017291041431077012,170.59132432937622,0.8833738095238095,0.8857014147145651,0.8802888348011642,0.8829868302552967,0.9556015993942153,0.8802888348011642,0.8864572274616407,0.8857014147145651,0.8810756331150396,184814,186203,23850,25133,209947,210053,0.2691376820369992,0.4998738095238095,0.9994953654553851,0.2691376820369992,0.004673542796746724,0.2738112248337459,0.9994680420489898,0.8177540779702877,0.9829565523345744,255.8501827040195,255.78562728380024,251.34713763702803,0.8938166666666667,0.8446299139153922,0.9653315269896616,0.9009560823940925,0.9751383870572505,0.9653315269896616,0.822217528099881,0.8446299139153922,0.959495575910117,86931,73956,15991,3122,90053,89947,0.36039588232101366,0.5002944444444445,0.9988229153942677,3.237764886157079,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
24,0.0004269231419060437,0.0008536998372026807,0.0017072532277959546,171.75318431854248,0.8840071428571429,0.8860834666334614,0.8812509823907939,0.8836606176969974,0.9557045604438574,0.8812509823907939,0.88676191246971,0.8860834666334614,0.881954374567941,185016,186267,23786,24931,209947,210053,0.26864087521739477,0.4998738095238095,0.9994953654553851,0.26864087521739477,0.008223762480348085,0.27686463769774283,0.9981746328733725,0.8336546070121553,0.9833114033937507,255.8501827040195,255.78562728380024,251.4323995127893,0.8885833333333333,0.8357669135423462,0.9673969773355691,0.8967774809690718,0.9749958876251171,0.9673969773355691,0.8096768096768097,0.8357669135423462,0.9612480861622934,87117,72828,17119,2936,90053,89947,0.39515871046618983,0.5002944444444445,0.9988229153942677,1.5266342955556782,0.5555094793777574,0.9841973284180756,255.53125,255.6818181818182,251.46875
25,0.00042129450292920795,0.0008424312794113804,0.0016847048323757247,170.99281287193298,0.8850380952380953,0.8866851322971532,0.8828418600884985,0.8847593225516965,0.95662926495854,0.8828418600884985,0.8872332220915674,0.8866851322971532,0.8834060949076379,185350,186366,23687,24597,209947,210053,0.26594707462369455,0.4998738095238095,0.9994953654553851,0.26594707462369455,0.007518067794038612,0.2734651424177331,0.9984407462678786,0.8482836399575131,0.9827429933896495,255.8501827040195,255.78562728380024,251.28623629719854,0.88625,0.8315322011931309,0.9689405128091235,0.8949929995333022,0.9754636547626427,0.9689405128091235,0.8034620387561564,0.8315322011931309,0.9627394559454346,87256,72269,17678,2797,90053,89947,0.39273267264731904,0.5002944444444445,0.9988229153942677,3.5703501064669,0.49999999593604694,0.9841973284180756,255.53125,255.6818181818182,251.46875
26,0.00041549731039825123,0.0008308252767291644,0.0016614812093909905,171.87493205070496,0.8857238095238095,0.8870481279843987,0.883946900884509,0.8854947991220536,0.9570448890212946,0.883946900884509,0.887499821473628,0.8870481279843987,0.8844093800851096,185582,186422,23631,24365,209947,210053,0.2647605593907267,0.4998738095238095,0.9994953654553851,0.2647605593907267,0.008556671163600945,0.2733172305543276,0.9977578538924855,0.8617231593133066,0.9826701062806253,255.8501827040195,255.78562728380024,251.2679658952497,0.8877944444444444,0.8332379262312286,0.9698177739775465,0.8963549497862645,0.9751688641048567,0.9698177739775465,0.8056744527332763,0.8332379262312286,0.963849652860905,87335,72468,17479,2718,90053,89947,0.38536977992308413,0.5002944444444445,0.9988229153942677,2.8427068638530644,0.49999444728547876,0.9841973284180756,255.53125,255.6818181818182,251.46875
27,0.0004095372854422982,0.0008188932828794708,0.001637605277753816,171.95301175117493,0.887054761904762,0.8880594876497221,0.8856949611092323,0.8868756483479795,0.957635564863907,0.8856949611092323,0.8884138764978362,0.8880594876497221,0.8860558752587697,185949,186614,23439,23998,209947,210053,0.2629078507024101,0.4998738095238095,0.9994953654553851,0.2629078507024101,0.002804860416456635,0.2657127111188667,0.999702912518226,0.874053287886007,0.9826613581065036,255.8501827040195,255.78562728380024,251.2777101096224,0.8960722222222223,0.847263594416214,0.9664975070236417,0.9029614221466031,0.9768085581920048,0.9664975070236417,0.825563943211002,0.847263594416214,0.9609571136475399,87036,74257,15690,3017,90053,89947,0.373583923517303,0.5002944444444445,0.9988229153942677,0.7660449607805773,0.6450100028040734,0.9841973284180756,255.53125,255.6818181818182,251.46875
28,0.0004034203098864177,0.0008066470732996621,0.0016131006001261507,171.02178931236267,0.8868619047619047,0.8877642126974881,0.8856330407198008,0.8866973461455924,0.9578541465331587,0.8856330407198008,0.8880901486767625,0.8877642126974881,0.8859643706929715,185936,186546,23507,24011,209947,210053,0.2622833742003493,0.4998738095238095,0.9994953654553851,0.2622833742003493,0.001980667595600428,0.26426404179594976,0.9997514547296912,0.8853516482022625,0.9830136170169933,255.8501827040195,255.78562728380024,251.35688185140074,0.8981666666666667,0.8512974736244037,0.9650205989806003,0.9045988258317026,0.9755518026327177,0.9650205989806003,0.8312339488810077,0.8512974736244037,0.9595723654658161,86903,74767,15180,3150,90053,89947,0.378618085460568,0.5002944444444445,0.9988229153942677,1.1141016788103364,0.5351286042820323,0.9841973284180756,255.53125,255.6818181818182,251.46875
29,0.00039715242044697217,0.0007940987335200907,0.0015879913596663277,172.16200423240662,0.8874642857142857,0.8892658882082696,0.8850852834286749,0.8871706607910587,0.9581620350675092,0.8850852834286749,0.8898420874731615,0.8892658882082696,0.885680439727066,185821,186914,23139,24126,209947,210053,0.2614337926260882,0.4998738095238095,0.9994953654553851,0.2614337926260882,0.002323793361275984,0.2637575859873642,0.9997211981487623,0.8956928738431646,0.9829944757468544,255.8501827040195,255.78562728380024,251.35444579780756,0.8974833333333333,0.85109742463174,0.9636880503703374,0.9039001348824856,0.9765747041602895,0.9636880503703374,0.8312005959064782,0.85109742463174,0.9580951892764692,86783,74764,15183,3270,90053,89947,0.34591101080348546,0.5002944444444445,0.9988229153942677,0.9007758620110425,0.5438277760351246,0.9841973284180756,255.53125,255.6818181818182,251.46875
